Title,"HE student enrolments by CAH level 1 subject, sex, first year marker, level of study, mode of study and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2019/20,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-13,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-13.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2019/20 total,2532385,,,,,,
,,,,,,,
Last updated,Jan-21,,,,,,
,,,,,,,
CAH level 1,First year marker,Level of study,Mode of study,Country of HE provider,Sex,Academic Year,Number
12 Geographical and environmental studies (social sciences),All,All undergraduate,All,Wales,Other,2019/20,0
12 Geographical and environmental studies (social sciences),All,All undergraduate,All,Wales,Total,2019/20,720
12 Geographical and environmental studies (social sciences),All,All undergraduate,Full-time,Wales,Female,2019/20,380
12 Geographical and environmental studies (social sciences),All,All undergraduate,Full-time,Wales,Male,2019/20,320
12 Geographical and environmental studies (social sciences),All,All undergraduate,Full-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (social sciences),All,All undergraduate,Full-time,Wales,Total,2019/20,700
12 Geographical and environmental studies (social sciences),All,All undergraduate,Part-time,Wales,Female,2019/20,5
12 Geographical and environmental studies (social sciences),All,All undergraduate,Part-time,Wales,Male,2019/20,10
12 Geographical and environmental studies (social sciences),All,All undergraduate,Part-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (social sciences),All,All undergraduate,Part-time,Wales,Total,2019/20,20
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,All,Female,2019/20,1650
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,All,Male,2019/20,1165
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,All,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,All,Total,2019/20,2815
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,All,Female,2019/20,1630
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,All,Male,2019/20,1150
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,All,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,All,Total,2019/20,2780
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,All,Female,2019/20,20
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,All,Male,2019/20,15
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,All,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,All,Total,2019/20,35
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,England,Female,2019/20,1380
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,England,Male,2019/20,960
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,England,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,England,Total,2019/20,2340
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,England,Female,2019/20,1370
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,England,Male,2019/20,950
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,England,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,England,Total,2019/20,2320
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,England,Female,2019/20,10
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,England,Male,2019/20,10
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,England,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,England,Total,2019/20,25
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Northern Ireland,Female,2019/20,15
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Northern Ireland,Male,2019/20,15
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Northern Ireland,Total,2019/20,30
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Northern Ireland,Female,2019/20,15
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Northern Ireland,Male,2019/20,15
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Northern Ireland,Total,2019/20,30
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Northern Ireland,Female,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Northern Ireland,Male,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Northern Ireland,Total,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Scotland,Female,2019/20,140
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Scotland,Male,2019/20,90
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Scotland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Scotland,Total,2019/20,230
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Scotland,Female,2019/20,135
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Scotland,Male,2019/20,85
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Scotland,Total,2019/20,220
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Scotland,Female,2019/20,5
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Scotland,Male,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Scotland,Total,2019/20,5
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Wales,Female,2019/20,110
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Wales,Male,2019/20,105
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Wales,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,All,Wales,Total,2019/20,215
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Wales,Female,2019/20,110
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Wales,Male,2019/20,100
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Full-time,Wales,Total,2019/20,210
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Wales,Female,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Wales,Male,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (social sciences),First year,All undergraduate,Part-time,Wales,Total,2019/20,5
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,All,Female,2019/20,3805
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,All,Male,2019/20,2685
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,All,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,All,Total,2019/20,6490
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,All,Female,2019/20,3730
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,All,Male,2019/20,2575
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,All,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,All,Total,2019/20,6305
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,All,Female,2019/20,75
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,All,Male,2019/20,110
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,All,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,All,Total,2019/20,185
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,England,Female,2019/20,3070
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,England,Male,2019/20,2240
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,England,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,England,Total,2019/20,5310
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,England,Female,2019/20,3010
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,England,Male,2019/20,2160
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,England,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,England,Total,2019/20,5170
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,England,Female,2019/20,55
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,England,Male,2019/20,80
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,England,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,England,Total,2019/20,135
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Northern Ireland,Female,2019/20,20
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Northern Ireland,Male,2019/20,30
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Northern Ireland,Total,2019/20,50
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Northern Ireland,Female,2019/20,20
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Northern Ireland,Male,2019/20,30
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Northern Ireland,Total,2019/20,45
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Northern Ireland,Female,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Northern Ireland,Male,2019/20,5
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Northern Ireland,Total,2019/20,5
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Scotland,Female,2019/20,440
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Scotland,Male,2019/20,185
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Scotland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Scotland,Total,2019/20,625
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Scotland,Female,2019/20,430
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Scotland,Male,2019/20,165
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Scotland,Total,2019/20,595
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Scotland,Female,2019/20,15
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Scotland,Male,2019/20,15
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Scotland,Total,2019/20,30
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Wales,Female,2019/20,275
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Wales,Male,2019/20,230
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Wales,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,All,Wales,Total,2019/20,505
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Wales,Female,2019/20,270
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Wales,Male,2019/20,220
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Full-time,Wales,Total,2019/20,490
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Wales,Female,2019/20,5
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Wales,Male,2019/20,10
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (social sciences),Other years,All undergraduate,Part-time,Wales,Total,2019/20,15
14 Humanities and liberal arts (non-specific),All,All,All,All,Female,2019/20,6545
14 Humanities and liberal arts (non-specific),All,All,All,All,Male,2019/20,2755
14 Humanities and liberal arts (non-specific),All,All,All,All,Other,2019/20,10
14 Humanities and liberal arts (non-specific),All,All,All,All,Total,2019/20,9310
14 Humanities and liberal arts (non-specific),All,All,Full-time,All,Female,2019/20,3000
14 Humanities and liberal arts (non-specific),All,All,Full-time,All,Male,2019/20,1245
14 Humanities and liberal arts (non-specific),All,All,Full-time,All,Other,2019/20,5
14 Humanities and liberal arts (non-specific),All,All,Full-time,All,Total,2019/20,4255
14 Humanities and liberal arts (non-specific),All,All,Part-time,All,Female,2019/20,3545
14 Humanities and liberal arts (non-specific),All,All,Part-time,All,Male,2019/20,1505
14 Humanities and liberal arts (non-specific),All,All,Part-time,All,Other,2019/20,5
14 Humanities and liberal arts (non-specific),All,All,Part-time,All,Total,2019/20,5055
14 Humanities and liberal arts (non-specific),All,All,All,England,Female,2019/20,4825
14 Humanities and liberal arts (non-specific),All,All,All,England,Male,2019/20,1980
14 Humanities and liberal arts (non-specific),All,All,All,England,Other,2019/20,5
14 Humanities and liberal arts (non-specific),All,All,All,England,Total,2019/20,6810
14 Humanities and liberal arts (non-specific),All,All,Full-time,England,Female,2019/20,2635
14 Humanities and liberal arts (non-specific),All,All,Full-time,England,Male,2019/20,1100
14 Humanities and liberal arts (non-specific),All,All,Full-time,England,Other,2019/20,5
14 Humanities and liberal arts (non-specific),All,All,Full-time,England,Total,2019/20,3740
14 Humanities and liberal arts (non-specific),All,All,Part-time,England,Female,2019/20,2190
14 Humanities and liberal arts (non-specific),All,All,Part-time,England,Male,2019/20,880
14 Humanities and liberal arts (non-specific),All,All,Part-time,England,Other,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,Part-time,England,Total,2019/20,3070
14 Humanities and liberal arts (non-specific),All,All,All,Northern Ireland,Female,2019/20,285
14 Humanities and liberal arts (non-specific),All,All,All,Northern Ireland,Male,2019/20,120
14 Humanities and liberal arts (non-specific),All,All,All,Northern Ireland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,All,Northern Ireland,Total,2019/20,405
14 Humanities and liberal arts (non-specific),All,All,Full-time,Northern Ireland,Female,2019/20,230
14 Humanities and liberal arts (non-specific),All,All,Full-time,Northern Ireland,Male,2019/20,95
14 Humanities and liberal arts (non-specific),All,All,Full-time,Northern Ireland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,Full-time,Northern Ireland,Total,2019/20,330
14 Humanities and liberal arts (non-specific),All,All,Part-time,Northern Ireland,Female,2019/20,55
14 Humanities and liberal arts (non-specific),All,All,Part-time,Northern Ireland,Male,2019/20,25
14 Humanities and liberal arts (non-specific),All,All,Part-time,Northern Ireland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,Part-time,Northern Ireland,Total,2019/20,80
14 Humanities and liberal arts (non-specific),All,All,All,Scotland,Female,2019/20,1235
14 Humanities and liberal arts (non-specific),All,All,All,Scotland,Male,2019/20,575
14 Humanities and liberal arts (non-specific),All,All,All,Scotland,Other,2019/20,5
14 Humanities and liberal arts (non-specific),All,All,All,Scotland,Total,2019/20,1815
14 Humanities and liberal arts (non-specific),All,All,Full-time,Scotland,Female,2019/20,135
14 Humanities and liberal arts (non-specific),All,All,Full-time,Scotland,Male,2019/20,55
14 Humanities and liberal arts (non-specific),All,All,Full-time,Scotland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,Full-time,Scotland,Total,2019/20,185
14 Humanities and liberal arts (non-specific),All,All,Part-time,Scotland,Female,2019/20,1105
14 Humanities and liberal arts (non-specific),All,All,Part-time,Scotland,Male,2019/20,520
14 Humanities and liberal arts (non-specific),All,All,Part-time,Scotland,Other,2019/20,5
14 Humanities and liberal arts (non-specific),All,All,Part-time,Scotland,Total,2019/20,1625
14 Humanities and liberal arts (non-specific),All,All,All,Wales,Female,2019/20,200
14 Humanities and liberal arts (non-specific),All,All,All,Wales,Male,2019/20,80
14 Humanities and liberal arts (non-specific),All,All,All,Wales,Other,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,All,Wales,Total,2019/20,280
14 Humanities and liberal arts (non-specific),All,All,Full-time,Wales,Female,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,Full-time,Wales,Male,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,Full-time,Wales,Other,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,Full-time,Wales,Total,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,Part-time,Wales,Female,2019/20,195
14 Humanities and liberal arts (non-specific),All,All,Part-time,Wales,Male,2019/20,80
14 Humanities and liberal arts (non-specific),All,All,Part-time,Wales,Other,2019/20,0
14 Humanities and liberal arts (non-specific),All,All,Part-time,Wales,Total,2019/20,280
14 Humanities and liberal arts (non-specific),First year,All,All,All,Female,2019/20,2520
14 Humanities and liberal arts (non-specific),First year,All,All,All,Male,2019/20,1195
14 Humanities and liberal arts (non-specific),First year,All,All,All,Other,2019/20,5
14 Humanities and liberal arts (non-specific),First year,All,All,All,Total,2019/20,3720
14 Humanities and liberal arts (non-specific),First year,All,Full-time,All,Female,2019/20,1370
14 Humanities and liberal arts (non-specific),First year,All,Full-time,All,Male,2019/20,655
14 Humanities and liberal arts (non-specific),First year,All,Full-time,All,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,Full-time,All,Total,2019/20,2025
14 Humanities and liberal arts (non-specific),First year,All,Part-time,All,Female,2019/20,1150
14 Humanities and liberal arts (non-specific),First year,All,Part-time,All,Male,2019/20,545
14 Humanities and liberal arts (non-specific),First year,All,Part-time,All,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,Part-time,All,Total,2019/20,1695
14 Humanities and liberal arts (non-specific),First year,All,All,England,Female,2019/20,1820
14 Humanities and liberal arts (non-specific),First year,All,All,England,Male,2019/20,870
14 Humanities and liberal arts (non-specific),First year,All,All,England,Other,2019/20,5
14 Humanities and liberal arts (non-specific),First year,All,All,England,Total,2019/20,2690
14 Humanities and liberal arts (non-specific),First year,All,Full-time,England,Female,2019/20,1230
14 Humanities and liberal arts (non-specific),First year,All,Full-time,England,Male,2019/20,590
14 Humanities and liberal arts (non-specific),First year,All,Full-time,England,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,Full-time,England,Total,2019/20,1820
14 Humanities and liberal arts (non-specific),First year,All,Part-time,England,Female,2019/20,585
14 Humanities and liberal arts (non-specific),First year,All,Part-time,England,Male,2019/20,280
14 Humanities and liberal arts (non-specific),First year,All,Part-time,England,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,Part-time,England,Total,2019/20,870
14 Humanities and liberal arts (non-specific),First year,All,All,Northern Ireland,Female,2019/20,100
14 Humanities and liberal arts (non-specific),First year,All,All,Northern Ireland,Male,2019/20,40
14 Humanities and liberal arts (non-specific),First year,All,All,Northern Ireland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,All,Northern Ireland,Total,2019/20,145
14 Humanities and liberal arts (non-specific),First year,All,Full-time,Northern Ireland,Female,2019/20,85
14 Humanities and liberal arts (non-specific),First year,All,Full-time,Northern Ireland,Male,2019/20,35
14 Humanities and liberal arts (non-specific),First year,All,Full-time,Northern Ireland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,Full-time,Northern Ireland,Total,2019/20,125
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Northern Ireland,Female,2019/20,15
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Northern Ireland,Male,2019/20,5
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Northern Ireland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Northern Ireland,Total,2019/20,20
14 Humanities and liberal arts (non-specific),First year,All,All,Scotland,Female,2019/20,550
14 Humanities and liberal arts (non-specific),First year,All,All,Scotland,Male,2019/20,265
14 Humanities and liberal arts (non-specific),First year,All,All,Scotland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,All,Scotland,Total,2019/20,815
14 Humanities and liberal arts (non-specific),First year,All,Full-time,Scotland,Female,2019/20,55
14 Humanities and liberal arts (non-specific),First year,All,Full-time,Scotland,Male,2019/20,30
14 Humanities and liberal arts (non-specific),First year,All,Full-time,Scotland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,Full-time,Scotland,Total,2019/20,80
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Scotland,Female,2019/20,495
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Scotland,Male,2019/20,235
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Scotland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Scotland,Total,2019/20,730
14 Humanities and liberal arts (non-specific),First year,All,All,Wales,Female,2019/20,50
14 Humanities and liberal arts (non-specific),First year,All,All,Wales,Male,2019/20,25
14 Humanities and liberal arts (non-specific),First year,All,All,Wales,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,All,Wales,Total,2019/20,75
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Wales,Female,2019/20,50
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Wales,Male,2019/20,25
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Wales,Other,2019/20,0
14 Humanities and liberal arts (non-specific),First year,All,Part-time,Wales,Total,2019/20,75
14 Humanities and liberal arts (non-specific),Other years,All,All,All,Female,2019/20,4025
14 Humanities and liberal arts (non-specific),Other years,All,All,All,Male,2019/20,1560
14 Humanities and liberal arts (non-specific),Other years,All,All,All,Other,2019/20,5
14 Humanities and liberal arts (non-specific),Other years,All,All,All,Total,2019/20,5590
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,All,Female,2019/20,1630
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,All,Male,2019/20,595
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,All,Other,2019/20,5
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,All,Total,2019/20,2230
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,All,Female,2019/20,2395
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,All,Male,2019/20,965
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,All,Other,2019/20,5
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,All,Total,2019/20,3360
14 Humanities and liberal arts (non-specific),Other years,All,All,England,Female,2019/20,3005
14 Humanities and liberal arts (non-specific),Other years,All,All,England,Male,2019/20,1110
14 Humanities and liberal arts (non-specific),Other years,All,All,England,Other,2019/20,5
14 Humanities and liberal arts (non-specific),Other years,All,All,England,Total,2019/20,4120
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,England,Female,2019/20,1400
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,England,Male,2019/20,510
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,England,Other,2019/20,5
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,England,Total,2019/20,1915
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,England,Female,2019/20,1605
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,England,Male,2019/20,600
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,England,Other,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,England,Total,2019/20,2205
14 Humanities and liberal arts (non-specific),Other years,All,All,Northern Ireland,Female,2019/20,185
14 Humanities and liberal arts (non-specific),Other years,All,All,Northern Ireland,Male,2019/20,80
14 Humanities and liberal arts (non-specific),Other years,All,All,Northern Ireland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,All,Northern Ireland,Total,2019/20,265
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Northern Ireland,Female,2019/20,145
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Northern Ireland,Male,2019/20,60
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Northern Ireland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Northern Ireland,Total,2019/20,205
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Northern Ireland,Female,2019/20,35
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Northern Ireland,Male,2019/20,20
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Northern Ireland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Northern Ireland,Total,2019/20,60
14 Humanities and liberal arts (non-specific),Other years,All,All,Scotland,Female,2019/20,690
14 Humanities and liberal arts (non-specific),Other years,All,All,Scotland,Male,2019/20,310
14 Humanities and liberal arts (non-specific),Other years,All,All,Scotland,Other,2019/20,5
14 Humanities and liberal arts (non-specific),Other years,All,All,Scotland,Total,2019/20,1000
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Scotland,Female,2019/20,80
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Scotland,Male,2019/20,25
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Scotland,Other,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Scotland,Total,2019/20,105
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Scotland,Female,2019/20,610
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Scotland,Male,2019/20,285
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Scotland,Other,2019/20,5
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Scotland,Total,2019/20,895
14 Humanities and liberal arts (non-specific),Other years,All,All,Wales,Female,2019/20,145
14 Humanities and liberal arts (non-specific),Other years,All,All,Wales,Male,2019/20,60
14 Humanities and liberal arts (non-specific),Other years,All,All,Wales,Other,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,All,Wales,Total,2019/20,205
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Wales,Female,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Wales,Male,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Wales,Other,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,Full-time,Wales,Total,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Wales,Female,2019/20,145
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Wales,Male,2019/20,60
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Wales,Other,2019/20,0
14 Humanities and liberal arts (non-specific),Other years,All,Part-time,Wales,Total,2019/20,205
14 Humanities and liberal arts (non-specific),All,Postgraduate (research),All,All,Female,2019/20,180
14 Humanities and liberal arts (non-specific),All,Postgraduate (research),All,All,Male,2019/20,100
14 Humanities and liberal arts (non-specific),All,Postgraduate (research),All,All,Other,2019/20,5
14 Humanities and liberal arts (non-specific),All,Postgraduate (research),All,All,Total,2019/20,285
14 Humanities and liberal arts (non-specific),All,Postgraduate (research),Full-time,All,Female,2019/20,115
