Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Total,2019/20,220
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Female,2019/20,25
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Male,2019/20,20
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Total,2019/20,45
01 Medicine and dentistry,Postgraduate (research),All,Wales,Female,2019/20,45
01 Medicine and dentistry,Postgraduate (research),All,Wales,Male,2019/20,45
01 Medicine and dentistry,Postgraduate (research),All,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),All,Wales,Total,2019/20,90
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Female,2019/20,35
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Male,2019/20,40
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Total,2019/20,75
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Female,2019/20,10
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Male,2019/20,5
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Total,2019/20,15
01 Medicine and dentistry,Postgraduate (taught),All,All,Female,2019/20,3855
01 Medicine and dentistry,Postgraduate (taught),All,All,Male,2019/20,2105
01 Medicine and dentistry,Postgraduate (taught),All,All,Other,2019/20,20
01 Medicine and dentistry,Postgraduate (taught),All,All,Total,2019/20,5980
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Female,2019/20,2210
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Male,2019/20,1020
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Other,2019/20,10
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Total,2019/20,3245
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Female,2019/20,1645
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Male,2019/20,1080
