Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
12 Geographical and environmental studies (natural sciences),All,Full-time,All,Total,2019/20,7215
12 Geographical and environmental studies (natural sciences),All,Part-time,All,Female,2019/20,270
12 Geographical and environmental studies (natural sciences),All,Part-time,All,Male,2019/20,230
12 Geographical and environmental studies (natural sciences),All,Part-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,Part-time,All,Total,2019/20,500
12 Geographical and environmental studies (natural sciences),All,All,England,Female,2019/20,3430
12 Geographical and environmental studies (natural sciences),All,All,England,Male,2019/20,2805
12 Geographical and environmental studies (natural sciences),All,All,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,All,England,Total,2019/20,6235
12 Geographical and environmental studies (natural sciences),All,Full-time,England,Female,2019/20,3240
12 Geographical and environmental studies (natural sciences),All,Full-time,England,Male,2019/20,2640
12 Geographical and environmental studies (natural sciences),All,Full-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,Full-time,England,Total,2019/20,5885
12 Geographical and environmental studies (natural sciences),All,Part-time,England,Female,2019/20,190
12 Geographical and environmental studies (natural sciences),All,Part-time,England,Male,2019/20,160
12 Geographical and environmental studies (natural sciences),All,Part-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,Part-time,England,Total,2019/20,350
12 Geographical and environmental studies (natural sciences),All,All,Northern Ireland,Female,2019/20,115
12 Geographical and environmental studies (natural sciences),All,All,Northern Ireland,Male,2019/20,115
12 Geographical and environmental studies (natural sciences),All,All,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,All,Northern Ireland,Total,2019/20,230
12 Geographical and environmental studies (natural sciences),All,Full-time,Northern Ireland,Female,2019/20,95
12 Geographical and environmental studies (natural sciences),All,Full-time,Northern Ireland,Male,2019/20,95
12 Geographical and environmental studies (natural sciences),All,Full-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,Full-time,Northern Ireland,Total,2019/20,190
12 Geographical and environmental studies (natural sciences),All,Part-time,Northern Ireland,Female,2019/20,20
12 Geographical and environmental studies (natural sciences),All,Part-time,Northern Ireland,Male,2019/20,20
12 Geographical and environmental studies (natural sciences),All,Part-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,Part-time,Northern Ireland,Total,2019/20,40
12 Geographical and environmental studies (natural sciences),All,All,Scotland,Female,2019/20,490
12 Geographical and environmental studies (natural sciences),All,All,Scotland,Male,2019/20,335
12 Geographical and environmental studies (natural sciences),All,All,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,All,Scotland,Total,2019/20,825
12 Geographical and environmental studies (natural sciences),All,Full-time,Scotland,Female,2019/20,430
12 Geographical and environmental studies (natural sciences),All,Full-time,Scotland,Male,2019/20,300
12 Geographical and environmental studies (natural sciences),All,Full-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,Full-time,Scotland,Total,2019/20,730
12 Geographical and environmental studies (natural sciences),All,Part-time,Scotland,Female,2019/20,55
12 Geographical and environmental studies (natural sciences),All,Part-time,Scotland,Male,2019/20,35
12 Geographical and environmental studies (natural sciences),All,Part-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,Part-time,Scotland,Total,2019/20,95
12 Geographical and environmental studies (natural sciences),All,All,Wales,Female,2019/20,190
12 Geographical and environmental studies (natural sciences),All,All,Wales,Male,2019/20,235
12 Geographical and environmental studies (natural sciences),All,All,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,All,Wales,Total,2019/20,425
12 Geographical and environmental studies (natural sciences),All,Full-time,Wales,Female,2019/20,185
12 Geographical and environmental studies (natural sciences),All,Full-time,Wales,Male,2019/20,225
12 Geographical and environmental studies (natural sciences),All,Full-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,Full-time,Wales,Total,2019/20,410
12 Geographical and environmental studies (natural sciences),All,Part-time,Wales,Female,2019/20,5
12 Geographical and environmental studies (natural sciences),All,Part-time,Wales,Male,2019/20,10
12 Geographical and environmental studies (natural sciences),All,Part-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All,Part-time,Wales,Total,2019/20,15
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,All,Female,2019/20,245
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,All,Male,2019/20,230
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,All,Total,2019/20,475
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,All,Female,2019/20,220
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,All,Male,2019/20,210
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,All,Total,2019/20,430
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,All,Female,2019/20,25
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,All,Male,2019/20,20
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,All,Total,2019/20,45
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,England,Female,2019/20,200
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,England,Male,2019/20,185
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,England,Total,2019/20,380
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,England,Female,2019/20,180
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,England,Male,2019/20,165
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,England,Total,2019/20,345
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,England,Female,2019/20,15
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,England,Male,2019/20,20
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,England,Total,2019/20,35
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Northern Ireland,Female,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Northern Ireland,Male,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Northern Ireland,Total,2019/20,5
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Northern Ireland,Female,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Northern Ireland,Male,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Northern Ireland,Total,2019/20,5
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Northern Ireland,Female,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Northern Ireland,Male,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Northern Ireland,Total,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Scotland,Female,2019/20,35
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Scotland,Male,2019/20,40
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Scotland,Total,2019/20,80
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Scotland,Female,2019/20,30
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Scotland,Male,2019/20,40
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Scotland,Total,2019/20,70
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Scotland,Female,2019/20,5
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Scotland,Male,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Scotland,Total,2019/20,10
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Wales,Female,2019/20,10
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Wales,Male,2019/20,5
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),All,Wales,Total,2019/20,15
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Wales,Female,2019/20,5
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Wales,Male,2019/20,5
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Full-time,Wales,Total,2019/20,10
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Wales,Female,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Wales,Male,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (research),Part-time,Wales,Total,2019/20,5
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,All,Female,2019/20,1175
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,All,Male,2019/20,950
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,All,Total,2019/20,2125
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,All,Female,2019/20,1005
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,All,Male,2019/20,805
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,All,Total,2019/20,1815
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,All,Female,2019/20,170
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,All,Male,2019/20,145
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,All,Total,2019/20,310
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,England,Female,2019/20,905
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,England,Male,2019/20,740
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,England,Total,2019/20,1645
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,England,Female,2019/20,790
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,England,Male,2019/20,640
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,England,Total,2019/20,1430
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,England,Female,2019/20,115
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,England,Male,2019/20,100
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,England,Total,2019/20,215
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Northern Ireland,Female,2019/20,35
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Northern Ireland,Male,2019/20,35
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Northern Ireland,Total,2019/20,70
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Northern Ireland,Female,2019/20,20
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Northern Ireland,Male,2019/20,20
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Northern Ireland,Total,2019/20,35
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Northern Ireland,Female,2019/20,20
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Northern Ireland,Male,2019/20,15
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Northern Ireland,Total,2019/20,35
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Scotland,Female,2019/20,210
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Scotland,Male,2019/20,145
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Scotland,Total,2019/20,360
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Scotland,Female,2019/20,180
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Scotland,Male,2019/20,125
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Scotland,Total,2019/20,305
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Scotland,Female,2019/20,30
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Scotland,Male,2019/20,25
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Scotland,Total,2019/20,55
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Wales,Female,2019/20,20
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Wales,Male,2019/20,30
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),All,Wales,Total,2019/20,50
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Wales,Female,2019/20,15
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Wales,Male,2019/20,25
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Full-time,Wales,Total,2019/20,40
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Wales,Female,2019/20,5
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Wales,Male,2019/20,5
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Postgraduate (taught),Part-time,Wales,Total,2019/20,10
12 Geographical and environmental studies (natural sciences),All postgraduate,All,All,Female,2019/20,1420
12 Geographical and environmental studies (natural sciences),All postgraduate,All,All,Male,2019/20,1180
12 Geographical and environmental studies (natural sciences),All postgraduate,All,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,All,All,Total,2019/20,2600
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,All,Female,2019/20,1225
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,All,Male,2019/20,1015
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,All,Total,2019/20,2245
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,All,Female,2019/20,195
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,All,Male,2019/20,165
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,All,Total,2019/20,355
12 Geographical and environmental studies (natural sciences),All postgraduate,All,England,Female,2019/20,1105
12 Geographical and environmental studies (natural sciences),All postgraduate,All,England,Male,2019/20,920
12 Geographical and environmental studies (natural sciences),All postgraduate,All,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,All,England,Total,2019/20,2030
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,England,Female,2019/20,975
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,England,Male,2019/20,805
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,England,Total,2019/20,1780
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,England,Female,2019/20,130
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,England,Male,2019/20,120
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,England,Total,2019/20,250
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Northern Ireland,Female,2019/20,40
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Northern Ireland,Male,2019/20,35
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Northern Ireland,Total,2019/20,75
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Northern Ireland,Female,2019/20,20
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Northern Ireland,Male,2019/20,20
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Northern Ireland,Total,2019/20,40
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Northern Ireland,Female,2019/20,20
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Northern Ireland,Male,2019/20,15
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Northern Ireland,Total,2019/20,35
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Scotland,Female,2019/20,250
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Scotland,Male,2019/20,190
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Scotland,Total,2019/20,440
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Scotland,Female,2019/20,210
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Scotland,Male,2019/20,165
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Scotland,Total,2019/20,375
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Scotland,Female,2019/20,40
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Scotland,Male,2019/20,25
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Scotland,Total,2019/20,60
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Wales,Female,2019/20,25
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Wales,Male,2019/20,35
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,All,Wales,Total,2019/20,60
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Wales,Female,2019/20,25
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Wales,Male,2019/20,30
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,Full-time,Wales,Total,2019/20,50
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Wales,Female,2019/20,5
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Wales,Male,2019/20,5
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All postgraduate,Part-time,Wales,Total,2019/20,10
12 Geographical and environmental studies (natural sciences),First degree,All,All,Female,2019/20,2700
12 Geographical and environmental studies (natural sciences),First degree,All,All,Male,2019/20,2195
12 Geographical and environmental studies (natural sciences),First degree,All,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,All,All,Total,2019/20,4895
12 Geographical and environmental studies (natural sciences),First degree,Full-time,All,Female,2019/20,2645
12 Geographical and environmental studies (natural sciences),First degree,Full-time,All,Male,2019/20,2145
12 Geographical and environmental studies (natural sciences),First degree,Full-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Full-time,All,Total,2019/20,4795
12 Geographical and environmental studies (natural sciences),First degree,Part-time,All,Female,2019/20,55
12 Geographical and environmental studies (natural sciences),First degree,Part-time,All,Male,2019/20,50
12 Geographical and environmental studies (natural sciences),First degree,Part-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Part-time,All,Total,2019/20,100
12 Geographical and environmental studies (natural sciences),First degree,All,England,Female,2019/20,2250
12 Geographical and environmental studies (natural sciences),First degree,All,England,Male,2019/20,1810
12 Geographical and environmental studies (natural sciences),First degree,All,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,All,England,Total,2019/20,4060
12 Geographical and environmental studies (natural sciences),First degree,Full-time,England,Female,2019/20,2205
12 Geographical and environmental studies (natural sciences),First degree,Full-time,England,Male,2019/20,1775
12 Geographical and environmental studies (natural sciences),First degree,Full-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Full-time,England,Total,2019/20,3980
12 Geographical and environmental studies (natural sciences),First degree,Part-time,England,Female,2019/20,45
12 Geographical and environmental studies (natural sciences),First degree,Part-time,England,Male,2019/20,35
12 Geographical and environmental studies (natural sciences),First degree,Part-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Part-time,England,Total,2019/20,80
12 Geographical and environmental studies (natural sciences),First degree,All,Northern Ireland,Female,2019/20,75
12 Geographical and environmental studies (natural sciences),First degree,All,Northern Ireland,Male,2019/20,80
12 Geographical and environmental studies (natural sciences),First degree,All,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,All,Northern Ireland,Total,2019/20,155
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Northern Ireland,Female,2019/20,75
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Northern Ireland,Male,2019/20,75
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Northern Ireland,Total,2019/20,150
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Northern Ireland,Female,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Northern Ireland,Male,2019/20,5
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Northern Ireland,Total,2019/20,5
12 Geographical and environmental studies (natural sciences),First degree,All,Scotland,Female,2019/20,210
12 Geographical and environmental studies (natural sciences),First degree,All,Scotland,Male,2019/20,110
12 Geographical and environmental studies (natural sciences),First degree,All,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,All,Scotland,Total,2019/20,325
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Scotland,Female,2019/20,205
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Scotland,Male,2019/20,105
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Scotland,Total,2019/20,315
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Scotland,Female,2019/20,5
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Scotland,Male,2019/20,5
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Scotland,Total,2019/20,10
12 Geographical and environmental studies (natural sciences),First degree,All,Wales,Female,2019/20,160
12 Geographical and environmental studies (natural sciences),First degree,All,Wales,Male,2019/20,190
12 Geographical and environmental studies (natural sciences),First degree,All,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,All,Wales,Total,2019/20,350
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Wales,Female,2019/20,160
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Wales,Male,2019/20,190
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Full-time,Wales,Total,2019/20,350
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Wales,Female,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Wales,Male,2019/20,5
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),First degree,Part-time,Wales,Total,2019/20,5
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,All,Female,2019/20,105
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,All,Male,2019/20,115
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,All,Total,2019/20,220
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,All,Female,2019/20,80
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,All,Male,2019/20,100
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,All,Total,2019/20,180
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,All,Female,2019/20,25
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,All,Male,2019/20,15
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,All,Total,2019/20,40
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,England,Female,2019/20,75
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,England,Male,2019/20,70
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,England,Total,2019/20,145
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,England,Female,2019/20,60
