,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
463,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Sex,Male,3760
464,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Sex,Other,0
465,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Domicile,England,1000
466,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Scotland,5215
467,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Wales,25
468,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Northern Ireland,150
469,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Other UK,5
470,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Total UK  ,6400
471,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Other European Union,1550
472,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Non-European Union,685
473,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Total Non-UK,2235
474,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Not known,0
475,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2015/16,Total,Total,8635
476,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Sex,Female,4150
477,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Sex,Male,3390
478,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Sex,Other,0
479,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,England,905
480,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Scotland,4285
481,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Wales,20
482,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Northern Ireland,145
483,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Other UK,5
484,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Total UK  ,5365
485,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Other European Union,1520
486,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Non-European Union,655
487,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Total Non-UK,2175
488,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Not known,0
489,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2015/16,Total,Total,7540
490,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Sex,Female,725
491,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Sex,Male,370
492,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Sex,Other,0
493,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,England,95
494,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Scotland,930
495,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Wales,5
496,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Northern Ireland,5
497,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Other UK,0
498,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Total UK  ,1030
499,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Other European Union,35
500,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Non-European Union,30
501,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Total Non-UK,60
502,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Not known,0
503,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2015/16,Total,Total,1095
798,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Sex,Female,1870
799,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Sex,Male,2135
800,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Sex,Other,0
801,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Domicile,England,150
802,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Domicile,Scotland,3245
803,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Domicile,Wales,5
804,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Domicile,Northern Ireland,105
805,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Domicile,Other UK,0
806,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Domicile,Total UK  ,3505
807,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Domicile,Other European Union,410
808,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Domicile,Non-European Union,85
809,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Domicile,Total Non-UK,500
810,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Domicile,Not known,0
811,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2015/16,Total,Total,4005
812,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Sex,Female,1670
813,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Sex,Male,1980
814,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Sex,Other,0
815,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,England,145
816,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Scotland,2945
817,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Wales,5
818,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Northern Ireland,100
819,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Other UK,0
820,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Total UK  ,3195
821,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Other European Union,380
822,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Non-European Union,80
823,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Total Non-UK,460
824,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Not known,0
825,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2015/16,Total,Total,3655
826,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Sex,Female,200
827,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Sex,Male,155
